Fecha,Año,Trimestre,Ingresos (miles de pesos)
2024-01-01,2024,1,280419124.08
2023-10-01,2023,4,167376014.8
2023-07-01,2023,3,133106593.41
2023-04-01,2023,2,118060280.28
2033-01-01,2023,1,104134992.81
2022-10-01,2022,4,72443482.9891497
2022-07-01,2022,3,64086784.3305304
2022-04-01,2022,2,60419500.6232803
2022-01-01,2022,1,55219313.0146503
2021-10-01,2021,4,45467887.16501248
2021-07-01,2021,3,42999944.292822465
2021-04-01,2021,2,38239666.63354247
2021-01-01,2021,1,36676371.36239245
2020-10-01,2020,4,33539702.716311768
2020-07-01,2020,3,31997444.530699246
2020-04-01,2020,2,32102475.991463635
2020-01-01,2020,1,29946216.452049132
2019-10-01,2019,4,24169250.699015297
2019-07-01,2019,3,21652748.444642507
2019-04-01,2019,2,20743117.694006097
2019-01-01,2019,1,20207413.77085243
2018-10-01,2018,4,16637686.589009605
2018-07-01,2018,3,15410980.692582969
2018-04-01,2018,2,14319467.460713817
2018-01-01,2018,1,13171459.230893355
2017-10-01,2017,4,11226127.38858
2017-07-01,2017,3,10065997.86215
2017-04-01,2017,2,9678646.92829
2017-01-01,2017,1,8701201.42137
2016-10-01,2016,4,7483980.393279007
2016-07-01,2016,3,6912441.538856647
2016-04-01,2016,2,6534240.597500004
2016-01-01,2016,1,5936844.886499999
2015-10-01,2015,4,5376899.206
2015-07-01,2015,3,5153738.8843600005
2015-04-01,2015,2,4701790.719660001
2015-01-01,2015,1,4876385.315070001
2014-10-01,2014,4,3950440.78037
2014-07-01,2014,3,3478637.7427996206
2014-04-01,2014,2,3270816.20391
2014-01-01,2014,1,2984054.2087800005
