Fecha,Año,Trimestre,Provincia,Otros,veloc_muyBaja,veloc_baja,veloc_media,veloc_alta,veloc_muyAlta
2024-01-01,2024,1,Buenos Aires,125147,111748,391174,1067259,1472665,1876564
2024-01-01,2024,1,Capital Federal,0,10154,76948,96382,460640,860587
2024-01-01,2024,1,Catamarca,70,2006,4537,6026,52927,9367
2024-01-01,2024,1,Chaco,3816,4357,19495,11262,89077,27536
2024-01-01,2024,1,Chubut,16640,8706,68201,44274,32660,195
2024-01-01,2024,1,Córdoba,14710,41310,165014,77151,546206,237808
2024-01-01,2024,1,Corrientes,6242,9570,28354,9690,71624,32414
2024-01-01,2024,1,Entre Ríos,13975,16033,74385,23368,110018,58773
2024-01-01,2024,1,Formosa,302,11974,21326,4453,12869,11794
2024-01-01,2024,1,Jujuy,1970,5922,21651,28824,54503,5183
2024-01-01,2024,1,La Pampa,1599,10101,53751,20556,34279,1909
2024-01-01,2024,1,La Rioja,0,837,2490,29482,48408,6565
2024-01-01,2024,1,Mendoza,5566,11657,48185,83842,139853,13494
2024-01-01,2024,1,Misiones,8526,18117,38358,13469,88846,35240
2024-01-01,2024,1,Neuquén,20168,8062,41935,25077,39327,29677
2024-01-01,2024,1,Río Negro,15576,7252,37036,41053,49825,20277
2024-01-01,2024,1,Salta,6646,8309,84613,3269,68188,31836
2024-01-01,2024,1,San Juan,22755,7054,30066,23011,21893,1887
2024-01-01,2024,1,San Luis,5968,3951,31809,79810,9641,24911
2024-01-01,2024,1,Santa Cruz,33803,2460,15358,14259,13355,973
2024-01-01,2024,1,Santa Fe,16168,36442,199767,87236,401853,177122
2024-01-01,2024,1,Santiago Del Estero,917,7232,59721,30077,16972,9443
2024-01-01,2024,1,Tierra Del Fuego,7121,861,19838,28006,5024,705
2024-01-01,2024,1,Tucumán,488,5778,31333,24845,155829,46322
2023-10-01,2023,4,Buenos Aires,93351,116665,401938,1076083,1436332,1887236
2023-10-01,2023,4,Capital Federal,0,8081,71471,92810,444881,857094
2023-10-01,2023,4,Catamarca,77,2113,4966,6250,51961,9220
2023-10-01,2023,4,Chaco,4040,4580,21305,11987,77294,28180
2023-10-01,2023,4,Chubut,16589,8944,67933,44028,32543,133
2023-10-01,2023,4,Córdoba,17061,44149,172591,78201,537605,229695
2023-10-01,2023,4,Corrientes,6484,10220,30669,13209,66962,31928
2023-10-01,2023,4,Entre Ríos,14382,16808,79234,23927,104039,60247
2023-10-01,2023,4,Formosa,350,11893,21790,4821,11265,11883
2023-10-01,2023,4,Jujuy,1980,6108,22376,29013,53565,4978
2023-10-01,2023,4,La Pampa,1610,10909,54486,20070,32505,1746
2023-10-01,2023,4,La Rioja,0,895,2827,29549,47593,6857
2023-10-01,2023,4,Mendoza,5499,11674,48253,84002,138791,11132
2023-10-01,2023,4,Misiones,8925,18476,38632,15207,84657,34436
2023-10-01,2023,4,Neuquén,20176,8071,41979,25020,38993,30384
2023-10-01,2023,4,Río Negro,15586,7393,37589,48265,39104,20480
2023-10-01,2023,4,Salta,6685,8749,86526,3816,66920,32036
2023-10-01,2023,4,San Juan,22649,7054,29030,23903,19948,626
2023-10-01,2023,4,San Luis,917,3951,31808,84861,8567,24578
2023-10-01,2023,4,Santa Cruz,33434,2533,16564,15193,17471,1836
2023-10-01,2023,4,Santa Fe,16426,38553,215122,81914,379142,178342
2023-10-01,2023,4,Santiago Del Estero,930,7430,60921,30308,13963,9678
2023-10-01,2023,4,Tierra Del Fuego,7879,861,22896,25656,3652,655
2023-10-01,2023,4,Tucumán,562,6684,36111,26059,150089,46830
2023-07-01,2023,3,Buenos Aires,122762,124301,411279,1077298,1394278,1838303
2023-07-01,2023,3,Capital Federal,0,8517,75677,93137,443341,847282
2023-07-01,2023,3,Catamarca,92,2170,5212,6758,51115,9008
2023-07-01,2023,3,Chaco,4089,4758,22890,9876,72685,27848
2023-07-01,2023,3,Chubut,16578,10691,66232,44991,29526,50
2023-07-01,2023,3,Córdoba,16934,46852,184615,78613,518495,223825
2023-07-01,2023,3,Corrientes,7976,11854,32914,10085,65598,31402
2023-07-01,2023,3,Entre Ríos,0,17409,76149,43271,97075,59389
2023-07-01,2023,3,Formosa,359,11945,21964,5323,10365,11358
2023-07-01,2023,3,Jujuy,2028,6320,22842,29244,52317,4625
2023-07-01,2023,3,La Pampa,1613,11326,56255,18760,30412,1555
2023-07-01,2023,3,La Rioja,0,965,3118,29647,47120,6851
2023-07-01,2023,3,Mendoza,5524,11921,48309,84838,138373,9057
2023-07-01,2023,3,Misiones,8892,18698,39923,15781,80760,33081
2023-07-01,2023,3,Neuquén,13259,9380,43466,25611,42037,30516
2023-07-01,2023,3,Río Negro,14957,9655,35733,49163,34871,19106
2023-07-01,2023,3,Salta,6799,9111,88559,4152,66184,31428
2023-07-01,2023,3,San Juan,22628,7054,28963,24075,20474,536
2023-07-01,2023,3,San Luis,8484,3952,31952,85842,6171,12512
2023-07-01,2023,3,Santa Cruz,0,11101,17136,13215,6535,0
2023-07-01,2023,3,Santa Fe,17806,39726,222524,85965,361822,172507
2023-07-01,2023,3,Santiago Del Estero,950,7526,63456,29262,11353,9381
2023-07-01,2023,3,Tierra Del Fuego,5020,861,23276,25569,3404,601
2023-07-01,2023,3,Tucumán,671,7254,39425,27156,146449,45602
2023-04-01,2023,2,Buenos Aires,125147,111748,391174,1067259,1472665,1876510
2023-04-01,2023,2,Capital Federal,0,10154,76948,96382,460640,860562
2023-04-01,2023,2,Catamarca,70,2006,4537,6026,52927,9367
2023-04-01,2023,2,Chaco,3816,4357,19495,11262,89077,27536
2023-04-01,2023,2,Chubut,16640,8706,68201,44274,32660,193
2023-04-01,2023,2,Córdoba,14710,41310,165014,77133,546206,237807
2023-04-01,2023,2,Corrientes,6242,9570,28354,9690,71624,32414
2023-04-01,2023,2,Entre Ríos,13975,16033,74385,23368,110018,58773
2023-04-01,2023,2,Formosa,302,11974,21326,4453,12869,11794
2023-04-01,2023,2,Jujuy,1970,5922,21651,28824,54503,5183
2023-04-01,2023,2,La Pampa,1599,10101,53751,20556,34279,1909
2023-04-01,2023,2,La Rioja,0,837,2490,29482,48408,6565
2023-04-01,2023,2,Mendoza,5566,11657,48185,83842,139853,13494
2023-04-01,2023,2,Misiones,8526,18117,38358,13469,88846,35240
2023-04-01,2023,2,Neuquén,20168,8062,41935,25077,39327,29677
2023-04-01,2023,2,Río Negro,15576,7252,37036,41053,49825,20277
