,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
0,Buenos Aires,25 de Mayo,25 de Mayo,23408,True,True,False,False,True,True,True,True,True,6854100.0,-35.4339385892588,-60.1731209454056
1,Buenos Aires,25 de Mayo,Agustín Mosconi,280,False,False,False,False,False,False,True,False,False,6854010.0,-35.7392169542026,-60.5590634621789
2,Buenos Aires,25 de Mayo,Del Valle,899,True,False,False,False,True,False,False,True,False,6854020.0,-35.8973453887603,-60.7316089512944
3,Buenos Aires,25 de Mayo,Ernestina,145,True,False,False,False,False,False,True,False,False,6854030.0,-35.2702340519789,-59.5575034078873
4,Buenos Aires,25 de Mayo,Gobernador Ugarte,547,False,False,False,False,False,True,False,False,False,6854040.0,-35.1643973648093,-60.0813577815069
5,Buenos Aires,25 de Mayo,Lucas Monteverde,63,False,False,False,False,False,True,False,False,False,6854050.0,-35.4838272164734,-59.9880647932831
6,Buenos Aires,25 de Mayo,Norberto de la Riestra,4524,False,True,False,True,False,True,True,True,True,6854060.0,-35.2727788695321,-59.7719327250509
7,Buenos Aires,25 de Mayo,Pedernales,1432,True,False,False,True,False,True,True,False,True,6854070.0,-35.2666085074294,-59.6306574695384
8,Buenos Aires,25 de Mayo,San Enrique,279,False,False,False,False,False,False,True,False,False,6854080.0,-35.7785028686085,-60.3546454811901
9,Buenos Aires,25 de Mayo,Valdés,579,False,False,False,False,False,False,True,False,True,6854090.0,-35.6488128268597,-60.4672591673156
10,Buenos Aires,9 de Julio,12 de Octubre,219,False,False,False,False,False,True,True,False,False,6588030.0,-35.607730780146,-60.9182929927645
11,Buenos Aires,9 de Julio,9 de Julio,36494,True,True,True,True,False,True,True,True,True,6588100.0,-35.4447435053964,-60.8843433362719
12,Buenos Aires,Alberti,Villa María,24,False,False,False,False,False,False,False,False,False,6021060.0,-34.8881255447686,-60.3469385614883
13,Buenos Aires,Alberti,Villa Ortiz (Est. Coronel Mom),815,False,False,False,False,False,True,True,True,True,6021070.0,-34.8435329449862,-60.3048498633642
14,Buenos Aires,Almirante Brown,Adrogué,30271,True,True,True,True,True,True,True,True,True,6028010.0,-34.8015580737331,-58.3914677191541
